Bloodstone Goblin:4:kicker
Champion of the Flame:3:quality(aura;equipment)
Fervent Strike:3:
Fiery Intervention:2:
Fight with Fire:3:
Fire Elemental:2:
Firefist Adept:2:quality(wizard)
Frenzied Rage:3:enchant(creature)
Ghitu Chronicler:3:quality(instant;sorcery)
Ghitu Journeymage:2:quality(wizard)
Ghitu Lavarunner:5:quality(instant;sorcery)
Goblin Barrage:2:
Goblin Chainwhirler:5:
Goblin Warchief:3:quality(goblin)
Haphazard Bombardment:1:
Jaya Ballard:3:quality(instant;sorcery)/mana(red,instant;sorcery)
Jaya's Immolating Inferno:3:quality(legendary,creature;planeswalker)
Keldon Overseer:2:sacrifice
Keldon Raider:3:
Keldon Warcaller:3:quality(saga)
Orcish Vandal:2:quality(artifact)
Pyromantic Pilgrim:3:
Radiating Lightning:2:
Rampaging Cyclops:3:
Run Amok:3:quality(creature)
Seismic Shift:1:
Shivan Fire:3:
Siege-Gang Commander:3:quality(goblin)
Skirk Prospector:4:quality(goblin)
Skizzik:2:
Squee, the Immortal:3:
The First Eruption:2:mana(red)
The Flame of Keld:4:damage(red)
Two-Headed Giant:4:
Valduk, Keeper of the Flame:3:quality(aura;equipment)
Verix Bladewing:4:
Warcry Phoenix:2:quality(creature)
Warlord's Fury:3:
Wizard's Lightning:4:quality(wizard)
