Act of Treason:0.6
Alpine Moon:0.6
Amulet of Safekeeping:0.4
Angrath's Marauders:0.2
Apex of Power:0.4
Arcane Encyclopedia:0.2
Arclight Phoenix:0.6
Banefire:1
Barging Sergeant:0.2
Bloodstone Goblin:0.8
Blood Sun:0.4
Boggart Brute:0.6
Bombard:0.4
Bonded Horncrest:0.6
Book Devourer:0.2
Brass's Bounty:0.4
Brazen Buccaneers:0.4
Brazen Freebooter:0.6
Buccaneer's Bravado:0.6
Burning Sun's Avatar:0.6
Captain Lannery Storm:0.6
Captivating Crew:0.6
Catalyst Elemental:0.6
Champion of the Flame:0.6
Charging Monstrosaur:0.6
Charging Tuskodon:0.4
Command the Storm:0.4
Cosmotronic Wave:0.4
Crash Through:0.6
Daring Buccaneer:0.6
Dark-Dweller Oracle:0.6
Demanding Dragon:0.6
Dinosaur Stampede:0.4
Direct Current:0.6
Dire Fleet Daredevil:0.8
Dismissive Pyromancer:0.6
Doublecast:0.6
Dragon Egg:0.4
Dual Shot:0.4
Electrify:0.4
Electrostatic Field:0.8
Erratic Cyclops:0.4
Etali, Primal Storm:0.6
Experimental Frenzy:0.8
Fanatical Firebrand:1
Fathom Fleet Firebrand:0.6
Fearless Halberdier:0.4
Fervent Strike:0.6
Fiery Cannonade:0.6
Fiery Finish:0.2
Fiery Intervention:0.4
Fight with Fire:0.6
Firecannon Blast:0.6
Fire Elemental:0.4
Firefist Adept:0.4
Fire Shrine Keeper:0.6
Fire Urchin:0.6
Forerunner of the Empire:0.4
Form of the Dinosaur:0.4
Frenzied Rage:0.6
Frenzied Raptor:0.4
Frilled Deathspitter:0.6
Gatekeeper Gargoyle:0.4
Ghitu Chronicler:0.6
Ghitu Journeymage:0.4
Ghitu Lavarunner:1
Glaive of the Guildpact:0.6
Goblin Banneret:0.8
Goblin Barrage:0.4
Goblin Chainwhirler:1
Goblin Cratermaker:0.8
Goblin Instigator:0.6
Goblin Locksmith:0.6
Goblin Motivator:0.4
Goblin Trailblazer:0.6
Goblin Trashmaster:0.4
Goblin Warchief:0.6
Gravitic Punch:0.6
Guttersnipe:0.6
Haphazard Bombardment:0.2
Havoc Devils:0.6
Headstrong Brute:0.6
Hellkite Whelp:0.6
Hijack:0.4
Hostile Minotaur:0.6
Inescapable Blaze:0.4
Inferno Hellion:0.4
Jaya Ballard:0.6
Jaya's Immolating Inferno:0.6
Kargan Dragonrider:0.8
Keldon Overseer:0.4
Keldon Raider:0.6
Keldon Warcaller:0.6
Lathliss, Dragon Queen:0.6
Lava Axe:0.2
Lava Coil:1
Legion Warboss:0.8
Lightning Mare:0.6
Lightning-Rig Crew:0.6
Lightning Strike:0.8
Makeshift Munitions:0.6
Maniacal Rage:0.6
Maximize Velocity:0.8
Mountain:1
Mutiny:0.4
Needletooth Raptor:0.4
Nest Robber:0.6
Onakke Ogre:0.4
Orazca Raptor:0.4
Orcish Vandal:0.4
Ornery Goblin:0.6
Otepec Huntmaster:0.6
Pirate's Pillage:0.6
Precision Bolt:0.4
Pyromantic Pilgrim:0.6
Radiating Lightning:0.4
Rampaging Cyclops:0.6
Rampaging Monument:0.6
Raptor Hatchling:0.6
Reckless Rage:0.8
Rekindling Phoenix:1
Repeating Barrage:0.4
Rigging Runner:0.8
Rile:0.8
Risk Factor:0.8
Rowdy Crew:0.4
Rubblebelt Boar:0.6
Rummaging Goblin:0.4
Run Amok:0.6
Runaway Steam-Kin:1
Sarkhan, Fireblood:0.6
Sarkhan's Unsealing:0.6
See Red:0.4
Seismic Shift:0.2
Shake the Foundations:0.6
Shivan Dragon:0.4
Shivan Fire:0.6
Shock:0.8
Siegebreaker Giant:0.4
Siege-Gang Commander:0.6
Silent Dart:0.2
Silverclad Ferocidons:0.4
Skirk Prospector:0.8
Skizzik:0.4
Smelt:0.6
Smelt-Ward Minotaur:0.6
Sparktongue Dragon:0.2
Spit Flame:0.6
Squee, the Immortal:0.6
Stampeding Horncrest:0.6
Star of Extinction:0.4
Storm Fleet Arsonist:0.6
Storm Fleet Pyromancer:0.4
Storm Fleet Swashbuckler:0.6
Street Riot:0.2
Sunbird's Invocation:0.4
Sun-Collared Raptor:0.6
Sun-Crowned Hunters:0.4
Sure Strike:0.4
Swaggering Corsair:0.4
Swap Goblin:0.6
Swashbuckling:0.4
Tectonic Rift:0.2
The First Eruption:0.4
The Flame of Keld:0.8
Thrash of Raptors:0.6
Thud:0.6
Tilonalli's Crown:0.4
Tilonalli's Knight:0.6
Tilonalli's Skinshifter:0.2
Tilonalli's Summoner:0.6
Torch Courier:0.6
Tormenting Voice:0.8
Trove of Temptation:0.4
Trumpet Blast:0.4
Two-Headed Giant:0.8
Unfriendly Fire:0.2
Valduk, Keeper of the Flame:0.6
Vance's Blasting Cannons:0.4
Verix Bladewing:0.8
Viashino Pyromancer:1
Volcanic Dragon:0.4
Volley Veteran:0.6
Warcry Phoenix:0.4
Warlord's Fury:0.6
Wily Goblin:0.4
Wizard's Lightning:0.8
Wojek Bodyguard:0.6
