Act of Treason:sacrifice
Alpine Moon:
Amulet of Safekeeping:
Angrath's Marauders:damage
Apex of Power:
Arcane Encyclopedia:
Arclight Phoenix:graveyard/instant|sorcery
Banefire:
Barging Sergeant:power(<,4)
Bloodstone Goblin:kicker
Blood Sun:
Boggart Brute:
Bombard:
Bonded Horncrest:creature
Book Devourer:
Brass's Bounty:land
Brazen Buccaneers:
Brazen Freebooter:
Buccaneer's Bravado:pirate
Burning Sun's Avatar:
Captain Lannery Storm:treasure
Captivating Crew:sacrifice
Catalyst Elemental:
Champion of the Flame:aura|equipment
Charging Monstrosaur:
Charging Tuskodon:
Command the Storm:
Cosmotronic Wave:
Crash Through:
Daring Buccaneer:pirate
Dark-Dweller Oracle:
Demanding Dragon:
Dinosaur Stampede:dinosaur
Direct Current:graveyard
Dire Fleet Daredevil:
Dismissive Pyromancer:
Doublecast:instant|sorcery
Dragon Egg:die
Dual Shot:
Electrify:
Electrostatic Field:instant|sorcery
Erratic Cyclops:instant|sorcery
Etali, Primal Storm:
Experimental Frenzy:
Fanatical Firebrand:
Fathom Fleet Firebrand:
Fearless Halberdier:
Fervent Strike:
Fiery Cannonade:pirate
Fiery Finish:
Fiery Intervention:
Fight with Fire:
Firecannon Blast:
Fire Elemental:
Firefist Adept:wizard
Fire Shrine Keeper:
Fire Urchin:instant|sorcery
Forerunner of the Empire:dinosaur
Form of the Dinosaur:
Frenzied Rage:creature
Frenzied Raptor:
Frilled Deathspitter:damage
Gatekeeper Gargoyle:gate
Ghitu Chronicler:instant|sorcery
Ghitu Journeymage:wizard
Ghitu Lavarunner:instant|sorcery
Glaive of the Guildpact:gate
Goblin Banneret:power(<,3)
Goblin Barrage:
Goblin Chainwhirler:
Goblin Cratermaker:
Goblin Instigator:
Goblin Locksmith:
Goblin Motivator:creature
Goblin Trailblazer:
Goblin Trashmaster:goblin
Goblin Warchief:goblin
Gravitic Punch:graveyard/powerx
Guttersnipe:instant|sorcery
Haphazard Bombardment:
Havoc Devils:
Headstrong Brute:pirate
Hellkite Whelp:
Hijack:
Hostile Minotaur:
Inescapable Blaze:
Inferno Hellion:
Jaya Ballard:red&[instant|sorcery]
Jaya's Immolating Inferno:legendary&[creature|planeswalker]
Kargan Dragonrider:dragon
Keldon Overseer:sacrifice
Keldon Raider:
Keldon Warcaller:saga
Lathliss, Dragon Queen:dragon
Lava Axe:
Lava Coil:
Legion Warboss:power(<,2)
Lightning Mare:
Lightning-Rig Crew:pirate
Lightning Strike:
Makeshift Munitions:creature|artifact
Maniacal Rage:
Maximize Velocity:graveyard/creature
Mountain:red
Mutiny:
Needletooth Raptor:damage
Nest Robber:
Onakke Ogre:
Orazca Raptor:
Orcish Vandal:artifact
Ornery Goblin:
Otepec Huntmaster:dinosaur
Pirate's Pillage:
Precision Bolt:
Pyromantic Pilgrim:
Radiating Lightning:
Rampaging Cyclops:
Rampaging Monument:multicolored
Raptor Hatchling:damage
Reckless Rage:
Rekindling Phoenix:die
Repeating Barrage:
Rigging Runner:
Rile:
Risk Factor:graveyard
Rowdy Crew:
Rubblebelt Boar:creature
Rummaging Goblin:
Run Amok:creature
Runaway Steam-Kin:red
Sarkhan, Fireblood:dragon
Sarkhan's Unsealing:creature&power(>=,4)/creature&power(>=,7)
See Red:creature
Seismic Shift:
Shake the Foundations:
Shivan Dragon:
Shivan Fire:
Shock:
Siegebreaker Giant:
Siege-Gang Commander:goblin
Silent Dart:
Silverclad Ferocidons:damage
Skirk Prospector:goblin
Skizzik:
Smelt:
Smelt-Ward Minotaur:instant|sorcery
Sparktongue Dragon:
Spit Flame:dragon
Squee, the Immortal:
Stampeding Horncrest:dinosaur
Star of Extinction:
Storm Fleet Arsonist:
Storm Fleet Pyromancer:
Storm Fleet Swashbuckler:permanent
Street Riot:creature
Sunbird's Invocation:cmcx
Sun-Collared Raptor:
Sun-Crowned Hunters:damage
Sure Strike:creature
Swaggering Corsair:
Swap Goblin:
Swashbuckling:creature
Tectonic Rift:
The First Eruption:
The Flame of Keld:damage&red
Thrash of Raptors:dinosaur
Thud:
Tilonalli's Crown:
Tilonalli's Knight:dinosaur
Tilonalli's Skinshifter:~legendary&creature
Tilonalli's Summoner:permanent
Torch Courier:creature
Tormenting Voice:
Trove of Temptation:
Trumpet Blast:creature
Two-Headed Giant:
Unfriendly Fire:
Valduk, Keeper of the Flame:aura|equipment
Vance's Blasting Cannons:
Verix Bladewing:
Viashino Pyromancer:
Volcanic Dragon:
Volley Veteran:goblin
Warcry Phoenix:creature
Warlord's Fury:
Wily Goblin:
Wizard's Lightning:wizard
Wojek Bodyguard:creature/power(<,3)
