Act of Treason:3:sacrifice
Alpine Moon:3:
Amulet of Safekeeping:2:
Apex of Power:2:
Arcane Encyclopedia:1:
Banefire:5:
Boggart Brute:3:
Catalyst Elemental:3:
Crash Through:3:
Dark-Dweller Oracle:3:
Demanding Dragon:3:
Dismissive Pyromancer:3:
Doublecast:3:quality(instant;sorcery)
Dragon Egg:2:die
Electrify:2:
Fiery Finish:1:
Fire Elemental:2:
Goblin Instigator:3:
Goblin Motivator:2:quality(creature)
Goblin Trashmaster:2:quality(goblin)
Guttersnipe:3:quality(instant;sorcery)
Havoc Devils:3:
Hostile Minotaur:3:
Inferno Hellion:2:
Kargan Dragonrider:4:quality(dragon)
Lathliss, Dragon Queen:3:quality(dragon)
Lava Axe:1:
Lightning Mare:3:
Lightning Strike:4:
Onakke Ogre:2:
Radiating Lightning:2:
Sarkhan, Fireblood:3:quality(dragon)
Sarkhan's Unsealing:3:quality(creature)/power(>=,4)/power(>=,7)
Shivan Dragon:2:
Shock:4:
Siegebreaker Giant:2:
Smelt:3:
Sparktongue Dragon:1:
Spit Flame:3:quality(dragon)
Tectonic Rift:1:
Thud:3:
Tormenting Voice:4:
Trumpet Blast:2:quality(creature)
Viashino Pyromancer:5:
Volcanic Dragon:2:
Volley Veteran:3:quality(goblin)
