Angrath's Marauders:1:damage
Bonded Horncrest:3:quality(creature)
Brazen Buccaneers:2:
Burning Sun's Avatar:3:
Captain Lannery Storm:3:quality(treasure)
Captivating Crew:3:sacrifice
Charging Monstrosaur:3:
Dinosaur Stampede:2:quality(dinosaur)
Dual Shot:2:
Fathom Fleet Firebrand:3:
Fiery Cannonade:3:quality(pirate)
Firecannon Blast:3:
Fire Shrine Keeper:3:
Frenzied Raptor:2:
Headstrong Brute:3:quality(pirate)
Hijack:2:
Lightning-Rig Crew:3:quality(pirate)
Makeshift Munitions:3:quality(creature;artifact)
Nest Robber:3:
Otepec Huntmaster:3:quality(dinosaur)
Raptor Hatchling:3:damage
Repeating Barrage:2:
Rigging Runner:4:
Rile:4:
Rowdy Crew:2:
Rummaging Goblin:2:
Star of Extinction:2:
Storm Fleet Arsonist:3:
Storm Fleet Pyromancer:2:
Sunbird's Invocation:2:cmcx
Sun-Crowned Hunters:2:enrage
Swashbuckling:2:enchant(creature)
Thrash of Raptors:3:quality(dinosaur)
Tilonalli's Knight:3:quality(dinosaur)
Tilonalli's Skinshifter:1:quality(nonlegendary,creature)
Trove of Temptation:2:
Unfriendly Fire:1:
Vance's Blasting Cannons:2:
Wily Goblin:2:
