Act of Treason:0.2
Alpine Moon:0.5
Amulet of Safekeeping:0.4
Angrath's Marauders:0.2
Apex of Power:0.4
Arcane Encyclopedia:0.2
Arclight Phoenix:0.6
Banefire:0.5
Barging Sergeant:0.1
Bloodstone Goblin:0.4
Blood Sun:0.4
Boggart Brute:0.2
Bombard:0.3
Bonded Horncrest:0.5
Book Devourer:0.1
Brass's Bounty:0.3
Brazen Buccaneers:0.3
Brazen Freebooter:0.3
Buccaneer's Bravado:0.2
Burning Sun's Avatar:0.5
Captain Lannery Storm:0.6
Captivating Crew:0.4
Catalyst Elemental:0.3
Champion of the Flame:0.4
Charging Monstrosaur:0.4
Charging Tuskodon:0.2
Command the Storm:0.1
Cosmotronic Wave:0.2
Crash Through:0.6
Daring Buccaneer:0.2
Dark-Dweller Oracle:0.2
Demanding Dragon:0.3
Dinosaur Stampede:0.3
Direct Current:0.5
Dire Fleet Daredevil:0.8
Dismissive Pyromancer:0.4
Doublecast:0.3
Dragon Egg:0.2
Dual Shot:0.3
Electrify:0.3
Electrostatic Field:0.7
Erratic Cyclops:0.2
Etali, Primal Storm:0.6
Experimental Frenzy:0.8
Fanatical Firebrand:1
Fathom Fleet Firebrand:0.4
Fearless Halberdier:0.1
Fervent Strike:0.2
Fiery Cannonade:0.6
Fiery Finish:0.1
Fiery Intervention:0.3
Fight with Fire:0.6
Firecannon Blast:0.2
Fire Elemental:0.1
Firefist Adept:0.1
Fire Shrine Keeper:0.3
Fire Urchin:0.4
Forerunner of the Empire:0.4
Form of the Dinosaur:0.2
Frenzied Rage:0.5
Frenzied Raptor:0.3
Frilled Deathspitter:0.4
Gatekeeper Gargoyle:0.2
Ghitu Chronicler:0.3
Ghitu Journeymage:0.1
Ghitu Lavarunner:1
Glaive of the Guildpact:0.4
Goblin Banneret:0.6
Goblin Barrage:0.2
Goblin Chainwhirler:1
Goblin Cratermaker:0.5
Goblin Instigator:0.6
Goblin Locksmith:0.4
Goblin Motivator:0.2
Goblin Trailblazer:0.3
Goblin Trashmaster:0.2
Goblin Warchief:0.3
Gravitic Punch:0.4
Guttersnipe:0.6
Haphazard Bombardment:0.1
Havoc Devils:0.4
Headstrong Brute:0.3
Hellkite Whelp:0.3
Hijack:0.2
Hostile Minotaur:0.3
Inescapable Blaze:0.1
Inferno Hellion:0.2
Jaya Ballard:0.2
Jaya's Immolating Inferno:0.4
Kargan Dragonrider:0.4
Keldon Overseer:0.2
Keldon Raider:0.2
Keldon Warcaller:0.3
Lathliss, Dragon Queen:0.2
Lava Axe:0.1
Lava Coil:0.6
Legion Warboss:0.8
Lightning Mare:0.6
Lightning-Rig Crew:0.4
Lightning Strike:0.9
Makeshift Munitions:0.3
Maniacal Rage:0.4
Maximize Velocity:0.4
Mountain:0.8
Mutiny:0.2
Needletooth Raptor:0.2
Nest Robber:0.4
Onakke Ogre:0.1
Orazca Raptor:0.3
Orcish Vandal:0.2
Ornery Goblin:0.3
Otepec Huntmaster:0.3
Pirate's Pillage:0.2
Precision Bolt:0.3
Pyromantic Pilgrim:0.3
Radiating Lightning:0.2
Rampaging Cyclops:0.3
Rampaging Monument:0.2
Raptor Hatchling:0.6
Reckless Rage:0.7
Rekindling Phoenix:0.7
Repeating Barrage:0.2
Rigging Runner:0.5
Rile:0.5
Risk Factor:0.8
Rowdy Crew:0.1
Rubblebelt Boar:0.4
Rummaging Goblin:0.2
Run Amok:0.5
Runaway Steam-Kin:1
Sarkhan, Fireblood:0.4
Sarkhan's Unsealing:0.4
See Red:0.2
Seismic Shift:0.1
Shake the Foundations:0.3
Shivan Dragon:0.2
Shivan Fire:0.6
Shock:0.9
Siegebreaker Giant:0.2
Siege-Gang Commander:0.4
Silent Dart:0.1
Silverclad Ferocidons:0.4
Skirk Prospector:0.6
Skizzik:0.3
Smelt:0.6
Smelt-Ward Minotaur:0.4
Sparktongue Dragon:0.2
Spit Flame:0.4
Squee, the Immortal:0.5
Stampeding Horncrest:0.3
Star of Extinction:0.3
Storm Fleet Arsonist:0.4
Storm Fleet Pyromancer:0.2
Storm Fleet Swashbuckler:0.3
Street Riot:0.1
Sunbird's Invocation:0.2
Sun-Collared Raptor:0.4
Sun-Crowned Hunters:0.3
Sure Strike:0.2
Swaggering Corsair:0.2
Swab Goblin:0.3
Swashbuckling:0.3
Tectonic Rift:0.1
The First Eruption:0.2
The Flame of Keld:0.8
Thrash of Raptors:0.4
Thud:0.4
Tilonalli's Crown:0.2
Tilonalli's Knight:0.3
Tilonalli's Skinshifter:0.1
Tilonalli's Summoner:0.6
Torch Courier:0.7
Tormenting Voice:0.7
Trove of Temptation:0.2
Trumpet Blast:0.1
Two-Headed Giant:0.3
Unfriendly Fire:0.1
Valduk, Keeper of the Flame:0.6
Vance's Blasting Cannons:0.3
Verix Bladewing:0.4
Viashino Pyromancer:1
Volcanic Dragon:0.2
Volley Veteran:0.4
Warcry Phoenix:0.3
Warlord's Fury:0.3
Wily Goblin:0.2
Wizard's Lightning:0.8
Wojek Bodyguard:0.1
