Arclight Phoenix:2:pgrave/flying/pquality(instant)/pquality(sorcery)
Barging Sergeant:1:mentor
Book Devourer:1:discard/draw
Command the Storm:2:damage(5,creature)
Cosmotronic Wave:2:damage(1,creature)
Direct Current:3:damage(2,any)/jumpstart
Electrostatic Field:4:pquality(instant)/pquality(sorcery)
Erratic Cyclops:2:pquality(instant)/pquality(sorcery)
Experimental Frenzy:4:
Fearless Halberdier:2:
Fire Urchin:3:pquality(instant)/pquality(sorcery)
Gatekeeper Gargoyle:2:pquality(gate)/flying
Glaive of the Guildpact:3:pquality(gate)
Goblin Banneret:4:mentor
Goblin Cratermaker:4:sacrifice/damage(2,creature)
Goblin Locksmith:3:
Gravitic Punch:3:damage(x,player)/jumpstart/pquality(creature)/ppowerx
Hellkite Whelp:3:flying
Inescapable Blaze:2:damage(6,any)
Lava Coil:5:damage(4,creature)/exileinstead
Legion Warboss:4:mentor/token(goblin)
Maniacal Rage:3:
Maximize Velocity:4:jumpstart/pquality(creature)
Ornery Goblin:3:
Precision Bolt:2:damage(3,any)
Rampaging Monument:3:pmulticolor
Risk Factor:4:draw/damage(4,player)/jumpstart
Rubblebelt Boar:3:pcreature
Runaway Steam-Kin:4:pquality(red)/mana(red)
Silent Dart:1:damage(3,creature)
Smelt-Ward Minotaur:3:pquality(instant)/pquality(sorcery)
Street Riot:1:pquality(creature)
Sure Strike:2:pquality(creature)
Torch Courier:3:sacrifice/pquality(creature)
Wojek Bodyguard:4:pquality(creature)
